product_category_name,product_category_name_english
beleza_saude,Health & Beauty
informatica_acessorios,Computers & Accessories
automotivo,Auto
cama_mesa_banho,"Bed, Bath & Table"
moveis_decoracao,Furniture & Decor
esporte_lazer,Sports & Leisure
perfumaria,Perfumery
utilidades_domesticas,Housewares
telefonia,Telephony
relogios_presentes,Watches & Gifts
alimentos_bebidas,Food & Drink
bebes,Baby
papelaria,Stationery
tablets_impressao_imagem,"Tablets, Printing & Image"
brinquedos,Toys
telefonia_fixa,Fixed Telephony
ferramentas_jardim,Garden Tools
fashion_bolsas_e_acessorios,Fashion Bags & Accessories
eletroportateis,Small Appliances
consoles_games,Consoles & Games
audio,Audio
fashion_calcados,Fashion Shoes
cool_stuff,Cool Stuff
malas_acessorios,Luggage & Accessories
climatizacao,Air Conditioning
construcao_ferramentas_construcao,Construction Tools
moveis_cozinha_area_de_servico_jantar_e_jardim,"Kitchen, Dining & Garden Furniture"
construcao_ferramentas_jardim,Construction Tools Garden
fashion_roupa_masculina,Fashion Male Clothing
pet_shop,Pet Shop
moveis_escritorio,Office Furniture
market_place,Market Place
eletronicos,Electronics
eletrodomesticos,Home Appliances
artigos_de_festas,Party Supplies
casa_conforto,Home Comfort
construcao_ferramentas_ferramentas,Construction Tools
agro_industria_e_comercio,Agro Industry & Commerce
moveis_colchao_e_estofado,Furniture Mattress & Upholstery
livros_tecnicos,Books Technical
casa_construcao,Home Construction
instrumentos_musicais,Musical Instruments
moveis_sala,Furniture Living Room
construcao_ferramentas_iluminacao,Construction Tools Lights
industria_comercio_e_negocios,"Industry, Commerce & Business"
alimentos,Food
artes,Art
moveis_quarto,Furniture Bedroom
livros_interesse_geral,Books General Interest
construcao_ferramentas_seguranca,Construction Tools Safety
fashion_underwear_e_moda_praia,Fashion Underwear & Beach
fashion_esporte,Fashion Sport
sinalizacao_e_seguranca,Signaling & Security
pcs,Computers
artigos_de_natal,Christmas Supplies
fashion_roupa_feminina,Fashion Female Clothing
eletrodomesticos_2,Home Appliances 2
livros_importados,Books Imported
bebidas,Drinks
cine_foto,Cine & Photo
la_cuisine,La Cuisine
musica,Music
casa_conforto_2,Home Comfort
portateis_casa_forno_e_cafe,Small Appliances Home Oven & Coffee
cds_dvds_musicais,CDs & DVDs
dvds_blu_ray,DVDs & Blu-Ray
flores,Flowers
artes_e_artesanato,Arts & Craftmanship
fraldas_higiene,Diapers & Hygiene
fashion_roupa_infanto_juvenil,Fashion Childrens Clothes
seguros_e_servicos,Security & Services
